Entry,ChEBI_ID
B4DFE9,CHEBI:75536
B4DFE9,CHEBI:131969
B4DFE9,CHEBI:131970
B4DFE9,CHEBI:78100
B4DFE9,CHEBI:76625
B4DFE9,CHEBI:138003
B4DFE9,CHEBI:58797
B4DFE9,CHEBI:85150
B4DFE9,CHEBI:85152
B4DFE9,CHEBI:43474
B4DFE9,CHEBI:84027
B4DFE9,CHEBI:138008
B4DFE9,CHEBI:131964
B4DFE9,CHEBI:138006
B4DFE9,CHEBI:131974
B4DFE9,CHEBI:75550
B4DFE9,CHEBI:78099
B4DFE9,CHEBI:85137
B4DFE9,CHEBI:85141
B4DFE9,CHEBI:132127
B4DFE9,CHEBI:84023
B4DFE9,CHEBI:138005
B4DFE9,CHEBI:75757
B4DFE9,CHEBI:15377
B4DFE9,CHEBI:84031
B4DFE9,CHEBI:84024
B4DFE9,CHEBI:18420
B4DFE9,CHEBI:58796
B4DFE9,CHEBI:75542
B4DFE9,CHEBI:84201
B4DFE9,CHEBI:72683
B4DFE9,CHEBI:84029
B4DFE9,CHEBI:34071
B4DFE9,CHEBI:138002
B4DFE9,CHEBI:85134
B4DFE9,CHEBI:74565
B4DFE9,CHEBI:74938
B4DFE9,CHEBI:131965
B4DFE9,CHEBI:78084
B4DFE9,CHEBI:140594
B4DFE9,CHEBI:84025
B4DFE9,CHEBI:138004
B4DFE9,CHEBI:32955
B4DFE9,CHEBI:84032
B4DFE9,CHEBI:57518
B4DFE9,CHEBI:74544
O00141,CHEBI:83421
O00141,CHEBI:15378
O00141,CHEBI:29999
O00141,CHEBI:30013
O00141,CHEBI:61977
O00141,CHEBI:456216
O00141,CHEBI:30616
O00194,CHEBI:43474
O00194,CHEBI:37565
O00194,CHEBI:18420
O00194,CHEBI:58189
O00194,CHEBI:15378
O00194,CHEBI:15377
O00299,CHEBI:17051
O00299,CHEBI:16382
O00299,CHEBI:58297
O00299,CHEBI:38290
O00299,CHEBI:17996
O00299,CHEBI:58539
O00299,CHEBI:18022
O00299,CHEBI:17632
O00299,CHEBI:57925
O00299,CHEBI:15858
O00429,CHEBI:43474
O00429,CHEBI:37565
O00429,CHEBI:58189
O00429,CHEBI:15378
O00429,CHEBI:15377
O00519,CHEBI:33384
O00519,CHEBI:146196
O00519,CHEBI:32395
O00519,CHEBI:137830
O00519,CHEBI:71466
O00519,CHEBI:146166
O00519,CHEBI:142684
O00519,CHEBI:52392
O00519,CHEBI:74475
O00519,CHEBI:32387
O00519,CHEBI:32426
O00519,CHEBI:77223
O00519,CHEBI:32392
O00519,CHEBI:146198
O00519,CHEBI:57603
O00519,CHEBI:32375
O00519,CHEBI:32372
O00519,CHEBI:2700
O00519,CHEBI:507393
O00519,CHEBI:71465
O00519,CHEBI:17754
O00519,CHEBI:133992
O00519,CHEBI:85299
O00519,CHEBI:79007
O00519,CHEBI:146197
O00519,CHEBI:15377
O00519,CHEBI:137125
O00519,CHEBI:149697
O00519,CHEBI:132049
O00519,CHEBI:25629
O00519,CHEBI:146186
O00519,CHEBI:30245
O00519,CHEBI:116314
O00519,CHEBI:17790
O00519,CHEBI:30823
O00519,CHEBI:31014
O00519,CHEBI:59002
O00519,CHEBI:71464
O00519,CHEBI:146191
O00519,CHEBI:23858
O00519,CHEBI:146164
O00519,CHEBI:82984
O00519,CHEBI:78033
O00519,CHEBI:7896
O00519,CHEBI:15378
O00519,CHEBI:146167
O00519,CHEBI:30807
O00519,CHEBI:77220
O00519,CHEBI:28938
O00519,CHEBI:57305
O00519,CHEBI:146165
O00519,CHEBI:146187
O00519,CHEBI:146168
O00519,CHEBI:71589
O00519,CHEBI:146163
O00555,CHEBI:29108
O00587,CHEBI:29035
O00587,CHEBI:15378
O00587,CHEBI:58223
O00587,CHEBI:189634
O00587,CHEBI:189632
O00587,CHEBI:57705
O00587,CHEBI:189631
O00587,CHEBI:189633
O14672,CHEBI:29105
O14874,CHEBI:83421
O14874,CHEBI:15378
O14874,CHEBI:29999
O14874,CHEBI:456216
O14874,CHEBI:30616
O14880,CHEBI:57463
O14880,CHEBI:90632
O14880,CHEBI:194498
O14880,CHEBI:58297
O14880,CHEBI:57450
O14880,CHEBI:57925
O14880,CHEBI:57973
O14880,CHEBI:15377
O14880,CHEBI:85236
O14920,CHEBI:83421
O14920,CHEBI:15378
O14920,CHEBI:29999
O14920,CHEBI:30013
O14920,CHEBI:61977
O14920,CHEBI:456216
O14920,CHEBI:30616
O15075,CHEBI:83421
O15075,CHEBI:15378
O15075,CHEBI:29999
O15075,CHEBI:30013
O15075,CHEBI:61977
O15075,CHEBI:456216
O15075,CHEBI:30616
O15118,CHEBI:16113
O15269,CHEBI:57385
O15269,CHEBI:71007
O15269,CHEBI:33384
O15269,CHEBI:57394
O15269,CHEBI:16526
O15269,CHEBI:15378
O15269,CHEBI:57379
O15269,CHEBI:57375
O15269,CHEBI:71008
O15269,CHEBI:57287
O15269,CHEBI:65073
O15269,CHEBI:597326
O15269,CHEBI:58299
O15270,CHEBI:33384
O15270,CHEBI:57394
O15270,CHEBI:16526
O15270,CHEBI:15378
O15270,CHEBI:57379
O15270,CHEBI:57287
O15270,CHEBI:65073
O15270,CHEBI:597326
O15270,CHEBI:58299
O15294,CHEBI:90840
O15294,CHEBI:15378
O15294,CHEBI:29999
O15294,CHEBI:58223
O15294,CHEBI:90838
O15294,CHEBI:30013
O15294,CHEBI:57705
O15357,CHEBI:43474
O15357,CHEBI:57658
O15357,CHEBI:83420
O15357,CHEBI:57836
O15357,CHEBI:83422
O15357,CHEBI:83417
O15357,CHEBI:15377
O15357,CHEBI:83416
O15554,CHEBI:29103
O43173,CHEBI:136545
O43173,CHEBI:60065
O43173,CHEBI:79214
O43173,CHEBI:197339
O43173,CHEBI:15378
O43173,CHEBI:140309
O43173,CHEBI:140308
O43173,CHEBI:197334
O43173,CHEBI:197340
O43173,CHEBI:139252
O43173,CHEBI:57812
O43173,CHEBI:60377
O43173,CHEBI:78436
O43173,CHEBI:79210
O43175,CHEBI:18110
O43175,CHEBI:15801
O43175,CHEBI:57540
O43175,CHEBI:15378
O43175,CHEBI:16452
O43175,CHEBI:16810
O43175,CHEBI:58272
O43175,CHEBI:57945
O43175,CHEBI:15589
O43426,CHEBI:58456
O43426,CHEBI:43474
O43426,CHEBI:15377
O43426,CHEBI:58178
O43581,CHEBI:29108
O43865,CHEBI:57540
O60229,CHEBI:83421
O60229,CHEBI:18420
O60229,CHEBI:15378
O60229,CHEBI:29999
O60229,CHEBI:30013
O60229,CHEBI:61977
O60229,CHEBI:456216
O60229,CHEBI:30616
O60264,CHEBI:43474
O60264,CHEBI:15378
O60264,CHEBI:456216
O60264,CHEBI:30616
O60264,CHEBI:15377
O60427,CHEBI:73862
O60427,CHEBI:15378
O60427,CHEBI:29034
O60427,CHEBI:85651
O60427,CHEBI:74265
O60427,CHEBI:29033
O60427,CHEBI:57368
O60427,CHEBI:74296
O60427,CHEBI:74264
O60427,CHEBI:15377
O60427,CHEBI:15379
O60507,CHEBI:46858
O60507,CHEBI:58339
O60507,CHEBI:65286
O60507,CHEBI:15378
O60507,CHEBI:58343
O75173,CHEBI:29105
O75251,CHEBI:17976
O75251,CHEBI:57540
O75251,CHEBI:15378
O75251,CHEBI:49883
O75251,CHEBI:16389
O75251,CHEBI:57945
O75306,CHEBI:17976
O75306,CHEBI:57540
O75306,CHEBI:15378
O75306,CHEBI:49883
O75306,CHEBI:16389
O75306,CHEBI:57945
O75390,CHEBI:16947
O75390,CHEBI:15378
O75390,CHEBI:16452
O75390,CHEBI:57288
O75390,CHEBI:57287
O75390,CHEBI:15377
O75489,CHEBI:17976
O75489,CHEBI:57540
O75489,CHEBI:15378
O75489,CHEBI:16389
O75489,CHEBI:57945
O75914,CHEBI:83421
O75914,CHEBI:18420
O75914,CHEBI:15378
O75914,CHEBI:29999
O75914,CHEBI:30013
O75914,CHEBI:61977
O75914,CHEBI:456216
O75914,CHEBI:30616
O94788,CHEBI:15035
O94788,CHEBI:35291
O94788,CHEBI:57540
O94788,CHEBI:15378
O94788,CHEBI:194182
O94788,CHEBI:17898
O94788,CHEBI:57945
O94788,CHEBI:194183
O94788,CHEBI:15377
O94788,CHEBI:15036
O94804,CHEBI:83421
O94804,CHEBI:15378
O94804,CHEBI:29999
O94804,CHEBI:30013
O94804,CHEBI:61977
O94804,CHEBI:456216
O94804,CHEBI:30616
O94911,CHEBI:43474
O94911,CHEBI:16113
O94911,CHEBI:15378
O94911,CHEBI:60050
O94911,CHEBI:456216
O94911,CHEBI:30616
O94911,CHEBI:36257
O94911,CHEBI:82961
O94911,CHEBI:57973
O94911,CHEBI:15377
O94956,CHEBI:131725
O94956,CHEBI:17544
O94956,CHEBI:58448
O94956,CHEBI:57406
O94956,CHEBI:60050
O94956,CHEBI:190692
O94956,CHEBI:57905
O94956,CHEBI:36257
O94956,CHEBI:133000
O94956,CHEBI:606564
O95237,CHEBI:78228
O95237,CHEBI:17336
O95237,CHEBI:138266
O95237,CHEBI:140082
O95237,CHEBI:76078
O95237,CHEBI:140089
O95237,CHEBI:138724
O95237,CHEBI:83228
O95237,CHEBI:140084
O95237,CHEBI:65211
O95237,CHEBI:138195
O95237,CHEBI:57875
O95237,CHEBI:72999
O95237,CHEBI:17616
O95237,CHEBI:63410
O95237,CHEBI:57643
O95237,CHEBI:140088
O95299,CHEBI:57692
O95470,CHEBI:17585
O95470,CHEBI:57939
O95470,CHEBI:17600
O95470,CHEBI:58190
O95470,CHEBI:60119
O95470,CHEBI:597326
O95677,CHEBI:46858
O95677,CHEBI:43474
O95677,CHEBI:18420
O95677,CHEBI:61978
O95677,CHEBI:15377
O95831,CHEBI:57540
O95831,CHEBI:15378
O95831,CHEBI:57692
O95831,CHEBI:17499
O95831,CHEBI:13193
O95831,CHEBI:57945
O95864,CHEBI:74083
O95864,CHEBI:29034
O95864,CHEBI:74034
O95864,CHEBI:57383
O95864,CHEBI:57379
O95864,CHEBI:57363
O95864,CHEBI:15377
O95864,CHEBI:74339
O95864,CHEBI:71489
O95864,CHEBI:74265
O95864,CHEBI:76410
O95864,CHEBI:74296
O95864,CHEBI:74086
O95864,CHEBI:85652
O95864,CHEBI:15379
O95864,CHEBI:15378
O95864,CHEBI:74328
O95864,CHEBI:29033
O95864,CHEBI:74264
O95992,CHEBI:16113
O95992,CHEBI:15378
O95992,CHEBI:58349
O95992,CHEBI:17499
O95992,CHEBI:13193
O95992,CHEBI:42977
O95992,CHEBI:15377
O95992,CHEBI:24875
O95992,CHEBI:15379
O95992,CHEBI:57783
P00568,CHEBI:58223
P00568,CHEBI:58593
P00568,CHEBI:61404
P00568,CHEBI:58595
P00568,CHEBI:73316
P00568,CHEBI:30616
P00568,CHEBI:58069
P00568,CHEBI:37565
P00568,CHEBI:61560
P00568,CHEBI:58189
P00568,CHEBI:61481
P00568,CHEBI:58938
P00568,CHEBI:456216
P00568,CHEBI:46398
P00568,CHEBI:61429
P00568,CHEBI:37563
P00568,CHEBI:58245
P00568,CHEBI:57667
P00568,CHEBI:18420
P00568,CHEBI:61557
P00568,CHEBI:58369
P00568,CHEBI:37568
P00568,CHEBI:58043
P00568,CHEBI:58937
P00568,CHEBI:456215
P00568,CHEBI:57930
P01112,CHEBI:43474
P01112,CHEBI:37565
P01112,CHEBI:58189
P01112,CHEBI:15378
P01112,CHEBI:15377
P02794,CHEBI:15378
P02794,CHEBI:29034
P02794,CHEBI:29033
P02794,CHEBI:15377
P02794,CHEBI:15379
P03886,CHEBI:17976
P03886,CHEBI:57540
P03886,CHEBI:15378
P03886,CHEBI:16389
P03886,CHEBI:57945
P03891,CHEBI:17976
P03891,CHEBI:57540
P03891,CHEBI:15378
P03891,CHEBI:16389
P03891,CHEBI:57945
P03897,CHEBI:17976
P03897,CHEBI:57540
P03897,CHEBI:15378
P03897,CHEBI:16389
P03897,CHEBI:57945
P04179,CHEBI:18421
P04179,CHEBI:29035
P04179,CHEBI:15378
P04179,CHEBI:16240
P04179,CHEBI:15379
P04406,CHEBI:57604
P04406,CHEBI:43474
P04406,CHEBI:57540
P04406,CHEBI:15378
P04406,CHEBI:29950
P04406,CHEBI:149494
P04406,CHEBI:57945
P04406,CHEBI:59776
P04839,CHEBI:18421
P04839,CHEBI:15378
P04839,CHEBI:57692
P04839,CHEBI:58349
P04839,CHEBI:15379
P04839,CHEBI:57783
P06213,CHEBI:46858
P06213,CHEBI:15378
P06213,CHEBI:456216
P06213,CHEBI:61978
P06213,CHEBI:30616
P06276,CHEBI:15378
P06276,CHEBI:15354
P06276,CHEBI:35287
P06276,CHEBI:29067
P06276,CHEBI:15377
P06733,CHEBI:58289
P06733,CHEBI:58702
P06733,CHEBI:15377
P06733,CHEBI:18420
P06737,CHEBI:43474
P06737,CHEBI:58601
P06737,CHEBI:15444
P06737,CHEBI:597326
P06744,CHEBI:61548
P06744,CHEBI:58247
P06744,CHEBI:234464
P06744,CHEBI:60332
P06744,CHEBI:58735
P06744,CHEBI:234465
P06744,CHEBI:57634
P06744,CHEBI:58225
P07099,CHEBI:84031
P07099,CHEBI:15378
P07099,CHEBI:32395
P07099,CHEBI:50014
P07099,CHEBI:76625
P07099,CHEBI:139164
P07099,CHEBI:17754
P07099,CHEBI:84025
P07099,CHEBI:84032
P07099,CHEBI:52392
P07099,CHEBI:139161
P07099,CHEBI:50004
P07099,CHEBI:15377
P07333,CHEBI:46858
P07333,CHEBI:15378
P07333,CHEBI:456216
P07333,CHEBI:61978
P07333,CHEBI:30616
P07384,CHEBI:29108
P07948,CHEBI:46858
P07948,CHEBI:15378
P07948,CHEBI:456216
P07948,CHEBI:61978
P07948,CHEBI:30616
P07949,CHEBI:46858
P07949,CHEBI:29108
P07949,CHEBI:15378
P07949,CHEBI:456216
P07949,CHEBI:61978
P07949,CHEBI:30616
P08069,CHEBI:46858
P08069,CHEBI:15378
P08069,CHEBI:456216
P08069,CHEBI:61978
P08069,CHEBI:30616
P08559,CHEBI:58937
P08559,CHEBI:18420
P08559,CHEBI:83099
P08559,CHEBI:16526
P08559,CHEBI:15378
P08559,CHEBI:83111
P08559,CHEBI:15361
P08575,CHEBI:46858
P08575,CHEBI:43474
P08575,CHEBI:61978
P08575,CHEBI:15377
P08631,CHEBI:46858
P08631,CHEBI:15378
P08631,CHEBI:456216
P08631,CHEBI:61978
P08631,CHEBI:30616
P09543,CHEBI:66954
P09543,CHEBI:78552
P09543,CHEBI:15377
P09543,CHEBI:15378
P09622,CHEBI:83099
P09622,CHEBI:57540
P09622,CHEBI:15378
P09622,CHEBI:57692
P09622,CHEBI:57945
P09622,CHEBI:83100
P0DMM9,CHEBI:133529
P0DMM9,CHEBI:59905
P0DMM9,CHEBI:57917
P0DMM9,CHEBI:176515
P0DMM9,CHEBI:72587
P0DMM9,CHEBI:133524
P0DMM9,CHEBI:58448
P0DMM9,CHEBI:140994
P0DMM9,CHEBI:233044
P0DMM9,CHEBI:533015
P0DMM9,CHEBI:176511
P0DMM9,CHEBI:350546
P0DMM9,CHEBI:58339
P0DMM9,CHEBI:71406
P0DMM9,CHEBI:176513
P0DMM9,CHEBI:140317
P0DMM9,CHEBI:176514
P0DMM9,CHEBI:176512
P0DMM9,CHEBI:233043
P0DMM9,CHEBI:15378
P0DMM9,CHEBI:33853
P0DMM9,CHEBI:57261
P0DMM9,CHEBI:58343
P0DMM9,CHEBI:233042
P11150,CHEBI:35020
P11150,CHEBI:28868
P11150,CHEBI:72999
P11150,CHEBI:75824
P11150,CHEBI:17855
P11150,CHEBI:75938
P11150,CHEBI:53753
P11150,CHEBI:64765
P11150,CHEBI:76478
P11150,CHEBI:16870
P11150,CHEBI:17968
P11150,CHEBI:57643
P11150,CHEBI:15377
P11150,CHEBI:75945
P11150,CHEBI:75735
P11150,CHEBI:30823
P11150,CHEBI:74617
P11150,CHEBI:76083
P11150,CHEBI:18035
P11150,CHEBI:52333
P11150,CHEBI:7896
P11150,CHEBI:58168
P11150,CHEBI:15378
P11150,CHEBI:74669
P11150,CHEBI:64563
P11150,CHEBI:57875
P11150,CHEBI:72998
P11150,CHEBI:73990
P11177,CHEBI:58937
P11177,CHEBI:83099
P11177,CHEBI:16526
P11177,CHEBI:15378
P11177,CHEBI:83111
P11177,CHEBI:15361
P11182,CHEBI:57345
P11182,CHEBI:233973
P11182,CHEBI:233974
P11182,CHEBI:83088
P11182,CHEBI:57338
P11182,CHEBI:83142
P11182,CHEBI:57287
P11182,CHEBI:88166
P11182,CHEBI:83100
P11511,CHEBI:15740
P11511,CHEBI:16469
P11511,CHEBI:137110
P11511,CHEBI:17347
P11511,CHEBI:15378
P11511,CHEBI:16330
P11511,CHEBI:137032
P11511,CHEBI:57618
P11511,CHEBI:1156
P11511,CHEBI:30413
P11511,CHEBI:58210
P11511,CHEBI:16422
P11511,CHEBI:137031
P11511,CHEBI:799
P11511,CHEBI:17263
P11511,CHEBI:15377
P11511,CHEBI:27576
P11511,CHEBI:15379
P11586,CHEBI:15740
P11586,CHEBI:43474
P11586,CHEBI:57455
P11586,CHEBI:15378
P11586,CHEBI:15636
P11586,CHEBI:195366
P11586,CHEBI:58349
P11586,CHEBI:456216
P11586,CHEBI:57453
P11586,CHEBI:30616
P11586,CHEBI:15377
P11586,CHEBI:57783
P11597,CHEBI:53753
P11597,CHEBI:46898
P11597,CHEBI:41509
P12235,CHEBI:30616
P12235,CHEBI:456216
P12235,CHEBI:15378
P12821,CHEBI:190699
P12821,CHEBI:17996
P12821,CHEBI:132988
P12821,CHEBI:190700
P12821,CHEBI:190704
P12821,CHEBI:189868
P12821,CHEBI:190697
P12821,CHEBI:133147
P12821,CHEBI:190689
P12821,CHEBI:190703
P12821,CHEBI:147362
P12821,CHEBI:147350
P12821,CHEBI:190706
P12821,CHEBI:190694
P12821,CHEBI:58506
P12821,CHEBI:15377
P12821,CHEBI:189869
P12821,CHEBI:190709
P12821,CHEBI:190692
P12821,CHEBI:190693
P12821,CHEBI:190708
P12821,CHEBI:147392
P12821,CHEBI:189870
P12821,CHEBI:190701
P12821,CHEBI:29105
P12821,CHEBI:190710
P12821,CHEBI:147352
P12821,CHEBI:190702
P12821,CHEBI:190696
P13284,CHEBI:35235
P13284,CHEBI:35491
P13284,CHEBI:29950
P13284,CHEBI:61694
P13284,CHEBI:50058
P13284,CHEBI:143812
P13637,CHEBI:43474
P13637,CHEBI:15378
P13637,CHEBI:456216
P13637,CHEBI:30616
P13637,CHEBI:29101
P13637,CHEBI:15377
P13637,CHEBI:29103
P13804,CHEBI:57692
P13929,CHEBI:58289
P13929,CHEBI:58702
P13929,CHEBI:15377
P13929,CHEBI:18420
P14867,CHEBI:17996
P16615,CHEBI:29108
P16615,CHEBI:43474
P16615,CHEBI:18420
P16615,CHEBI:15378
P16615,CHEBI:456216
P16615,CHEBI:30616
P16615,CHEBI:15377
P16885,CHEBI:29108
P16885,CHEBI:203600
P16885,CHEBI:15378
P16885,CHEBI:58456
P16885,CHEBI:17815
P16885,CHEBI:15377
P17174,CHEBI:35235
P17174,CHEBI:597326
P17174,CHEBI:16452
P17174,CHEBI:74359
P17174,CHEBI:61085
P17174,CHEBI:16810
P17174,CHEBI:57678
P17174,CHEBI:16763
P17174,CHEBI:140699
P17174,CHEBI:29985
P17174,CHEBI:29991
P17252,CHEBI:29108
P17252,CHEBI:83421
P17252,CHEBI:15378
P17252,CHEBI:29999
P17252,CHEBI:30013
P17252,CHEBI:61977
P17252,CHEBI:456216
P17252,CHEBI:30616
P17302,CHEBI:67143
P17302,CHEBI:143093
P17655,CHEBI:29108
P17948,CHEBI:46858
P17948,CHEBI:15378
P17948,CHEBI:456216
P17948,CHEBI:61978
P17948,CHEBI:30616
P18507,CHEBI:17996
P19525,CHEBI:46858
P19525,CHEBI:83421
P19525,CHEBI:18420
P19525,CHEBI:15378
P19525,CHEBI:29999
P19525,CHEBI:30013
P19525,CHEBI:61977
P19525,CHEBI:456216
P19525,CHEBI:61978
P19525,CHEBI:30616
P20020,CHEBI:43474
P20020,CHEBI:29108
P20020,CHEBI:15378
P20020,CHEBI:456216
P20020,CHEBI:30616
P20020,CHEBI:15377
P20336,CHEBI:43474
P20336,CHEBI:37565
P20336,CHEBI:18420
P20336,CHEBI:58189
P20336,CHEBI:15378
